# This document stores information about OSRS items that are
# not directly extractable from the OSRS Wiki. The purpose of
# the document is to aid item metadata extraction by normalizing
# item names
#
# The structure of the file is:
# itemID|itemName|normalizedName|statusCode
# 1) itemID is directly from the OSRS client cache
# 2) itemName is directly from the OSRS client cache
# 3) nomalizedName is the itemName normalized for the OSRS Wiki
# 4) statusCode documents specific item scenarios
#
# The specified statusCodes are:
# 0: no issue, normalized name used for direct Wiki query
# 1: invalid item (item has no name, or Null name)
# 2: unobtainable item (items that are no longer in game)
# 3: unusable item (things like board game pieces, puzzle box pieces)
# 4: item is not really an item (usually an item ID to link to an icon)
# 5: item has no dedicated, or related, page on OSRS wiki
# 6: equipable item bonuses extraction error
#
19|Holy grail|Holy grail (item)|0
5391|Oranges(2)|Oranges|0
5392|Oranges(3)|Oranges|0
5393|Oranges(3)|Oranges|0
5394|Oranges(4)|Oranges|0
5395|Oranges(4)|Oranges|0
5396|Oranges(5)|Oranges|0
5397|Oranges(5)|Oranges|0
5398|Strawberries(1)|Strawberries|0
5399|Strawberries(1)|Strawberries|0
5400|Strawberries(2)|Strawberries|0
5401|Strawberries(2)|Strawberries|0
5402|Strawberries(3)|Strawberries|0
5403|Strawberries(3)|Strawberries|0
5404|Strawberries(4)|Strawberries|0
5405|Strawberries(4)|Strawberries|0
5406|Strawberries(5)|Strawberries|0
5407|Strawberries(5)|Strawberries|0
5408|Bananas(1)|Bananas|0
5409|Bananas(1)|Bananas|0
5410|Bananas(2)|Bananas|0
5411|Bananas(2)|Bananas|0
5412|Bananas(3)|Bananas|0
5413|Bananas(3)|Bananas|0
5414|Bananas(4)|Bananas|0
5415|Bananas(4)|Bananas|0
5416|Bananas(5)|Bananas|0
5417|Bananas(5)|Bananas|0
5420|Potatoes(1)|Potatoes|0
5421|Potatoes(1)|Potatoes|0
5422|Potatoes(2)|Potatoes|0
5423|Potatoes(2)|Potatoes|0
5424|Potatoes(3)|Potatoes|0
5425|Potatoes(3)|Potatoes|0
5426|Potatoes(4)|Potatoes|0
5427|Potatoes(4)|Potatoes|0
5428|Potatoes(5)|Potatoes|0
5429|Potatoes(5)|Potatoes|0
5430|Potatoes(6)|Potatoes|0
5431|Potatoes(6)|Potatoes|0
5432|Potatoes(7)|Potatoes|0
5433|Potatoes(7)|Potatoes|0
5434|Potatoes(8)|Potatoes|0
5435|Potatoes(8)|Potatoes|0
5436|Potatoes(9)|Potatoes|0
5437|Potatoes(9)|Potatoes|0
5438|Potatoes(10)|Potatoes|0
5439|Potatoes(10)|Potatoes|0
5440|Onions(1)|Onions|0
5441|Onions(1)|Onions|0
5442|Onions(2)|Onions|0
5443|Onions(2)|Onions|0
5444|Onions(3)|Onions|0
5445|Onions(3)|Onions|0
5446|Onions(4)|Onions|0
5447|Onions(4)|Onions|0
5448|Onions(5)|Onions|0
5449|Onions(5)|Onions|0
5450|Onions(6)|Onions|0
5451|Onions(6)|Onions|0
5452|Onions(7)|Onions|0
5453|Onions(7)|Onions|0
5454|Onions(8)|Onions|0
5455|Onions(8)|Onions|0
5456|Onions(9)|Onions|0
5457|Onions(9)|Onions|0
5458|Onions(10)|Onions|0
5459|Onions(10)|Onions|0
5460|Cabbages(1)|Cabbages|0
5461|Cabbages(1)|Cabbages|0
5462|Cabbages(2)|Cabbages|0
5463|Cabbages(2)|Cabbages|0
5464|Cabbages(3)|Cabbages|0
5465|Cabbages(3)|Cabbages|0
5466|Cabbages(4)|Cabbages|0
5467|Cabbages(4)|Cabbages|0
5468|Cabbages(5)|Cabbages|0
5469|Cabbages(5)|Cabbages|0
5470|Cabbages(6)|Cabbages|0
5471|Cabbages(6)|Cabbages|0
5472|Cabbages(7)|Cabbages|0
5473|Cabbages(7)|Cabbages|0
5474|Cabbages(8)|Cabbages|0
5475|Cabbages(8)|Cabbages|0
5476|Cabbages(9)|Cabbages|0
5477|Cabbages(9)|Cabbages|0
5478|Cabbages(10)|Cabbages|0
5479|Cabbages(10)|Cabbages|0
5488|Apple seedling (w)|Apple seedling|0
5489|Banana seedling (w)|Banana seedling|0
5490|Orange seedling (w)|Orange seedling|0
5491|Curry seedling (w)|Curry seedling|0
5492|Pineapple seedling (w)|Pineapple seedling|0
5493|Papaya seedling (w)|Papaya seedling|0
5494|Palm seedling (w)|Palm seedling|0
5495|Calquat seedling (w)|Calquat seedling|0
5546|Null|None|1
5549|Null|None|1
5550|Null|None|1
5551|Null|None|1
5552|Null|None|1
5562|Gear|Gear|5
5563|Gear|Gear|5
5564|Gear|Gear|5
5565|Gear|Gear|5
5566|Gear|Gear|5
5567|Gear|Gear|5
5569|Tiles|Tiles (Rogues' Den)|0
5570|Tiles|Tiles (Rogues' Den)|0
5571|Tiles|Tiles (Rogues' Den)|0
5572|Dial|Dial|5
5573|Desert amulet|Desert amulet 3|0
5585|Bronze key|Bronze key (Recruitment Drive)|0
5592|Tin|Tin (Recruitment Drive)|0
5593|Tin|Tin (Recruitment Drive)|0
5594|Tin|Tin (Recruitment Drive)|0
5595|Tin|Tin (Recruitment Drive)|0
5596|Tin|Tin (Recruitment Drive)|0
5597|Tin|Tin (Recruitment Drive)|0
5598|Tin|Tin (Recruitment Drive)|0
5599|Tin|Tin (Recruitment Drive)|0
5600|Tin|Tin (Recruitment Drive)|0
5604|Magnet|Magnet (Recruitment Drive)|0
5607|Grain|Grain (Recruitment Drive)|6
5608|Fox|Fox (Recruitment Drive)|0
5609|Chicken|Chicken (Recruitment Drive)|0
5610|Hourglass|Hourglass (Recruitment Drive)|0
5614|Magic carpet|Magic carpet|4
5616|Bronze arrow(p+)|Bronze arrow|0
5617|Iron arrow(p+)|Iron arrow|0
5618|Steel arrow(p+)|Steel arrow|0
5619|Mithril arrow(p+)|Mithril arrow|0
5620|Adamant arrow(p+)|Adamant arrow|0
5621|Rune arrow(p+)|Rune arrow|0
5622|Bronze arrow(p++)|Bronze arrow|0
5623|Iron arrow(p++)|Iron arrow|0
5624|Steel arrow(p++)|Steel arrow|0
5625|Mithril arrow(p++)|Mithril arrow|0
5626|Adamant arrow(p++)|Adamant arrow|0
5627|Rune arrow(p++)|Rune arrow|0
5628|Bronze dart(p+)|Bronze dart|0
5629|Iron dart(p+)|Iron dart|0
5630|Steel dart(p+)|Steel dart|0
5631|Black dart(p+)|Black dart|0
5632|Mithril dart(p+)|Mithril dart|0
5633|Adamant dart(p+)|Adamant dart|0
5634|Rune dart(p+)|Rune dart|0
5635|Bronze dart(p++)|Bronze dart|0
5636|Iron dart(p++)|Iron dart|0
5637|Steel dart(p++)|Steel dart|0
5638|Black dart(p++)|Black dart|0
5639|Mithril dart(p++)|Mithril dart|0
5640|Adamant dart(p++)|Adamant dart|0
5641|Rune dart(p++)|Rune dart|0
5642|Bronze javelin(p+)|Bronze javelin|0
5643|Iron javelin(p+)|Iron javelin|0
5644|Steel javelin(p+)|Steel javelin|0
5645|Mithril javelin(p+)|Mithril javelin|0
5646|Adamant javelin(p+)|Adamant javelin|0
5647|Rune javelin(p+)|Rune javelin|0
5648|Bronze javelin(p++)|Bronze javelin|0
5649|Iron javelin(p++)|Iron javelin|0
5650|Steel javelin(p++)|Steel javelin|0
5651|Mithril javelin(p++)|Mithril javelin|0
5652|Adamant javelin(p++)|Adamant javelin|0
5653|Rune javelin(p++)|Rune javelin|0
5654|Bronze knife(p+)|Bronze knife|0
5655|Iron knife(p+)|Iron knife|0
5656|Steel knife(p+)|Steel knife|0
5657|Mithril knife(p+)|Mithril knife|0
5658|Black knife(p+)|Black knife|0
5659|Adamant knife(p+)|Adamant knife|0
5660|Rune knife(p+)|Rune knife|0
5661|Bronze knife(p++)|Bronze knife|0
5662|Iron knife(p++)|Iron knife|0
5663|Steel knife(p++)|Steel knife|0
5664|Mithril knife(p++)|Mithril knife|0
5665|Black knife(p++)|Black knife|0
5666|Adamant knife(p++)|Adamant knife|0
5667|Rune knife(p++)|Rune knife|0
5668|Iron dagger(p+)|Iron dagger|0
5669|Iron dagger(p+)|Iron dagger|0
5670|Bronze dagger(p+)|Bronze dagger|0
5671|Bronze dagger(p+)|Bronze dagger|0
5672|Steel dagger(p+)|Steel dagger|0
5673|Steel dagger(p+)|Steel dagger|0
5674|Mithril dagger(p+)|Mithril dagger|0
5675|Mithril dagger(p+)|Mithril dagger|0
5676|Adamant dagger(p+)|Adamant dagger|0
5677|Adamant dagger(p+)|Adamant dagger|0
5678|Rune dagger(p+)|Rune dagger|0
5679|Rune dagger(p+)|Rune dagger|0
5680|Dragon dagger(p+)|Dragon dagger|0
5681|Dragon dagger(p+)|Dragon dagger|0
5682|Black dagger(p+)|Black dagger|0
5683|Black dagger(p+)|Black dagger|0
5684|Poison dagger(p+)|None|2
5685|Poison dagger(p+)|None|2
5686|Iron dagger(p++)|Iron dagger|0
5687|Iron dagger(p++)|Iron dagger|0
5688|Bronze dagger(p++)|Bronze dagger|0
5689|Bronze dagger(p++)|Bronze dagger|0
5690|Steel dagger(p++)|Steel dagger|0
5691|Steel dagger(p++)|Steel dagger|0
5692|Mithril dagger(p++)|Mithril dagger|0
5693|Mithril dagger(p++)|Mithril dagger|0
5694|Adamant dagger(p++)|Adamant dagger|0
5695|Adamant dagger(p++)|Adamant dagger|0
5696|Rune dagger(p++)|Rune dagger|0
5697|Rune dagger(p++)|Rune dagger|0
5698|Dragon dagger(p++)|Dragon dagger|0
5699|Dragon dagger(p++)|Dragon dagger|0
5700|Black dagger(p++)|Black dagger|0
5701|Black dagger(p++)|Black dagger|0
5702|Poison dagger(p++)|None|2
5703|Poison dagger(p++)|None|2
5704|Bronze spear(p+)|Bronze spear|0
5705|Bronze spear(p+)|Bronze spear|0
5706|Iron spear(p+)|Iron spear|0
5707|Iron spear(p+)|Iron spear|0
5708|Steel spear(p+)|Steel spear|0
5709|Steel spear(p+)|Steel spear|0
5710|Mithril spear(p+)|Mithril spear|0
5711|Mithril spear(p+)|Mithril spear|0
5712|Adamant spear(p+)|Adamant spear|0
5713|Adamant spear(p+)|Adamant spear|0
5714|Rune spear(p+)|Rune spear|0
5715|Rune spear(p+)|Rune spear|0
5716|Dragon spear(p+)|Dragon spear|0
5717|Dragon spear(p+)|Dragon spear|0
5718|Bronze spear(p++)|Bronze spear|0
5719|Bronze spear(p++)|Bronze spear|0
5720|Iron spear(p++)|Iron spear|0
5721|Iron spear(p++)|Iron spear|0
5722|Steel spear(p++)|Steel spear|0
5723|Steel spear(p++)|Steel spear|0
5724|Mithril spear(p++)|Mithril spear|0
5725|Mithril spear(p++)|Mithril spear|0
5726|Adamant spear(p++)|Adamant spear|0
5727|Adamant spear(p++)|Adamant spear|0
5728|Rune spear(p++)|Rune spear|0
5729|Rune spear(p++)|Rune spear|0
5730|Dragon spear(p++)|Dragon spear|0
5731|Dragon spear(p++)|Dragon spear|0
5732|Stool|None|2
5734|Black spear(p+)|Black spear|0
5735|Black spear(p+)|Black spear|0
5736|Black spear(p++)|Black spear|0
5737|Black spear(p++)|Black spear|0
5771|Dwarven stout(1)|Dwarven stout (keg)|0
5772|Dwarven stout(1)|Dwarven stout (keg)|0
5773|Dwarven stout(2)|Dwarven stout (keg)|0
5774|Dwarven stout(2)|Dwarven stout (keg)|0
5775|Dwarven stout(3)|Dwarven stout (keg)|0
5776|Dwarven stout(3)|Dwarven stout (keg)|0
5777|Dwarven stout(4)|Dwarven stout (keg)|0
5778|Dwarven stout(4)|Dwarven stout (keg)|0
5779|Asgarnian ale(1)|Asgarnian ale (keg)|0
5780|Asgarnian ale(1)|Asgarnian ale (keg)|0
5781|Asgarnian ale(2)|Asgarnian ale (keg)|0
5782|Asgarnian ale(2)|Asgarnian ale (keg)|0
5783|Asgarnian ale(3)|Asgarnian ale (keg)|0
5784|Asgarnian ale(3)|Asgarnian ale (keg)|0
5785|Asgarnian ale(4)|Asgarnian ale (keg)|0
5786|Asgarnian ale(4)|Asgarnian ale (keg)|0
5787|Greenmans ale(1)|Greenman's ale (keg)|0
5788|Greenmans ale(1)|Greenman's ale (keg)|0
5789|Greenmans ale(2)|Greenman's ale (keg)|0
5790|Greenmans ale(2)|Greenman's ale (keg)|0
5791|Greenmans ale(3)|Greenman's ale (keg)|0
5792|Greenmans ale(3)|Greenman's ale (keg)|0
5793|Greenmans ale(4)|Greenman's ale (keg)|0
5794|Greenmans ale(4)|Greenman's ale (keg)|0
5795|Mind bomb(1)|Mind bomb|0
5796|Mind bomb(1)|Mind bomb|0
5797|Mind bomb(2)|Mind bomb|0
5798|Mind bomb(2)|Mind bomb|0
5799|Mind bomb(3)|Mind bomb|0
5800|Mind bomb(3)|Mind bomb|0
5801|Mind bomb(4)|Mind bomb|0
5802|Mind bomb(4)|Mind bomb|0
5803|Dragon bitter(1)|Dragon bitter (keg)|0
5804|Dragon bitter(1)|Dragon bitter (keg)|0
5805|Dragon bitter(2)|Dragon bitter (keg)|0
5806|Dragon bitter(2)|Dragon bitter (keg)|0
5807|Dragon bitter(3)|Dragon bitter (keg)|0
5808|Dragon bitter(3)|Dragon bitter (keg)|0
5809|Dragon bitter(4)|Dragon bitter (keg)|0
5810|Dragon bitter(4)|Dragon bitter (keg)|0
5811|Moonlight mead(1)|Moonlight mead (keg)|0
5812|Moonlight mead(1)|Moonlight mead (keg)|0
5813|Moonlight mead(2)|Moonlight mead (keg)|0
5814|Moonlight mead(2)|Moonlight mead (keg)|0
5815|Moonlight mead(3)|Moonlight mead (keg)|0
5816|Moonlight mead(3)|Moonlight mead (keg)|0
5817|Moonlight mead(4)|Moonlight mead (keg)|0
5818|Moonlight mead(4)|Moonlight mead (keg)|0
5819|Axeman's folly(1)|Axeman's folly (keg)|0
5820|Axeman's folly(1)|Axeman's folly (keg)|0
5821|Axeman's folly(2)|Axeman's folly (keg)|0
5822|Axeman's folly(2)|Axeman's folly (keg)|0
5823|Axeman's folly(3)|Axeman's folly (keg)|0
5824|Axeman's folly(3)|Axeman's folly (keg)|0
5825|Axeman's folly(4)|Axeman's folly (keg)|0
5826|Axeman's folly(4)|Axeman's folly (keg)|0
5827|Chef's delight(1)|Chef's delight (keg)|0
5828|Chef's delight(1)|Chef's delight (keg)|0
5829|Chef's delight(2)|Chef's delight (keg)|0
5830|Chef's delight(2)|Chef's delight (keg)|0
5831|Chef's delight(3)|Chef's delight (keg)|0
5832|Chef's delight(3)|Chef's delight (keg)|0
5833|Chef's delight(4)|Chef's delight (keg)|0
5834|Chef's delight(4)|Chef's delight (keg)|0
5835|Slayer's respite(1)|Slayer's respite (keg)|0
5836|Slayer's respite(1)|Slayer's respite (keg)|0
5837|Slayer's respite(2)|Slayer's respite (keg)|0
5838|Slayer's respite(2)|Slayer's respite (keg)|0
5839|Slayer's respite(3)|Slayer's respite (keg)|0
5840|Slayer's respite(3)|Slayer's respite (keg)|0
5841|Slayer's respite(4)|Slayer's respite (keg)|0
5842|Slayer's respite(4)|Slayer's respite (keg)|0
5843|Cider(1)|Cider (keg)|0
5844|Cider(1)|Cider (keg)|0
5845|Cider(2)|Cider (keg)|0
5846|Cider(2)|Cider (keg)|0
5847|Cider(3)|Cider (keg)|0
5848|Cider(3)|Cider (keg)|0
5849|Cider(4)|Cider (keg)|0
5850|Cider(4)|Cider (keg)|0
5851|Dwarven stout(m1)|Dwarven stout(m) (keg)|0
5852|Dwarven stout(m1)|Dwarven stout(m) (keg)|0
5853|Dwarven stout(m2)|Dwarven stout(m) (keg)|0
5854|Dwarven stout(m2)|Dwarven stout(m) (keg)|0
5855|Dwarven stout(m3)|Dwarven stout(m) (keg)|0
5856|Dwarven stout(m3)|Dwarven stout(m) (keg)|0
5857|Dwarven stout(m4)|Dwarven stout(m) (keg)|0
5858|Dwarven stout(m4)|Dwarven stout(m) (keg)|0
5859|Asgarnian ale(m1)|Asgarnian ale(m) (keg)|0
5860|Asgarnian ale(m1)|Asgarnian ale(m) (keg)|0
5861|Asgarnian ale(m2)|Asgarnian ale(m) (keg)|0
5862|Asgarnian ale(m2)|Asgarnian ale(m) (keg)|0
5863|Asgarnian ale(m3)|Asgarnian ale(m) (keg)|0
5864|Asgarnian ale(m3)|Asgarnian ale(m) (keg)|0
5865|Asgarnian ale(m4)|Asgarnian ale(m) (keg)|0
5866|Asgarnian ale(m4)|Asgarnian ale(m) (keg)|0
5867|Greenmans ale(m1)|Greenman's ale(m) (keg)|0
5868|Greenmans ale(m1)|Greenman's ale(m) (keg)|0
5869|Greenmans ale(m2)|Greenman's ale(m) (keg)|0
5870|Greenmans ale(m2)|Greenman's ale(m) (keg)|0
5871|Greenmans ale(m3)|Greenman's ale(m) (keg)|0
5872|Greenmans ale(m3)|Greenman's ale(m) (keg)|0
5873|Greenmans ale(m4)|Greenman's ale(m) (keg)|0
5874|Greenmans ale(m4)|Greenman's ale(m) (keg)|0
5875|Mind bomb(m1)|Mind bomb(m)|0
5876|Mind bomb(m1)|Mind bomb(m)|0
5877|Mind bomb(m2)|Mind bomb(m)|0
5878|Mind bomb(m2)|Mind bomb(m)|0
5879|Mind bomb(m3)|Mind bomb(m)|0
5880|Mind bomb(m3)|Mind bomb(m)|0
5881|Mind bomb(m4)|Mind bomb(m)|0
5882|Mind bomb(m4)|Mind bomb(m)|0
5883|Dragon bitter(m1)|Dragon bitter(m) (keg)|0
5884|Dragon bitter(m1)|Dragon bitter(m) (keg)|0
5885|Dragon bitter(m2)|Dragon bitter(m) (keg)|0
5886|Dragon bitter(m2)|Dragon bitter(m) (keg)|0
5887|Dragon bitter(m3)|Dragon bitter(m) (keg)|0
5888|Dragon bitter(m3)|Dragon bitter(m) (keg)|0
5889|Dragon bitter(m4)|Dragon bitter(m) (keg)|0
5890|Dragon bitter(m4)|Dragon bitter(m) (keg)|0
5891|Moonlight mead(m1)|Moonlight mead(m) (keg)|0
5892|Moonlight mead(m1)|Moonlight mead(m) (keg)|0
5893|Moonlight mead(m2)|Moonlight mead(m) (keg)|0
5894|Moonlight mead(m2)|Moonlight mead(m) (keg)|0
5895|Moonlight mead(m3)|Moonlight mead(m) (keg)|0
5896|Moonlight mead(m3)|Moonlight mead(m) (keg)|0
5897|Moonlight mead(m4)|Moonlight mead(m) (keg)|0
5898|Moonlight mead(m4)|Moonlight mead(m) (keg)|0
5899|Axeman's folly(m1)|Axeman's folly(m) (keg)|0
5900|Axeman's folly(m1)|Axeman's folly(m) (keg)|0
5901|Axeman's folly(m2)|Axeman's folly(m) (keg)|0
5902|Axeman's folly(m2)|Axeman's folly(m) (keg)|0
5903|Axeman's folly(m3)|Axeman's folly(m) (keg)|0
5904|Axeman's folly(m3)|Axeman's folly(m) (keg)|0
5905|Axeman's folly(m4)|Axeman's folly(m) (keg)|0
5906|Axeman's folly(m4)|Axeman's folly(m) (keg)|0
5907|Chef's delight(m1)|Chef's delight(m) (keg)|0
5908|Chef's delight(m1)|Chef's delight(m) (keg)|0
5909|Chef's delight(m2)|Chef's delight(m) (keg)|0
5910|Chef's delight(m2)|Chef's delight(m) (keg)|0
5911|Chef's delight(m3)|Chef's delight(m) (keg)|0
5912|Chef's delight(m3)|Chef's delight(m) (keg)|0
5913|Chef's delight(m4)|Chef's delight(m) (keg)|0
5914|Chef's delight(m4)|Chef's delight(m) (keg)|0
5915|Slayer's respite(m1)|Slayer's respite(m) (keg)|0
5916|Slayer's respite(m1)|Slayer's respite(m) (keg)|0
5917|Slayer's respite(m2)|Slayer's respite(m) (keg)|0
5918|Slayer's respite(m2)|Slayer's respite(m) (keg)|0
5919|Slayer's respite(m3)|Slayer's respite(m) (keg)|0
5920|Slayer's respite(m3)|Slayer's respite(m) (keg)|0
5921|Slayer's respite(m4)|Slayer's respite(m) (keg)|0
5922|Slayer's respite(m4)|Slayer's respite(m) (keg)|0
5923|Cider(m1)|Cider(m) (keg)|0
5924|Cider(m1)|Cider(m) (keg)|0
5925|Cider(m2)|Cider(m) (keg)|0
5926|Cider(m2)|Cider(m) (keg)|0
5927|Cider(m3)|Cider(m) (keg)|0
5928|Cider(m3)|Cider(m) (keg)|0
5929|Cider(m4)|Cider(m) (keg)|0
5930|Cider(m4)|Cider(m) (keg)|0
5943|Antidote+(4)|Antidote+|0
5944|Antidote+(4)|Antidote+|0
5945|Antidote+(3)|Antidote+|0
5946|Antidote+(3)|Antidote+|0
5947|Antidote+(2)|Antidote+|0
5948|Antidote+(2)|Antidote+|0
5949|Antidote+(1)|Antidote+|0
5950|Antidote+(1)|Antidote+|0
5952|Antidote++(4)|Antidote++|0
5953|Antidote++(4)|Antidote++|0
5954|Antidote++(3)|Antidote++|0
5955|Antidote++(3)|Antidote++|0
5956|Antidote++(2)|Antidote++|0
5957|Antidote++(2)|Antidote++|0
5958|Antidote++(1)|Antidote++|0
5959|Antidote++(1)|Antidote++|0
5960|Tomatoes(1)|Tomatoes|0
5961|Tomatoes(1)|Tomatoes|0
5962|Tomatoes(2)|Tomatoes|0
5963|Tomatoes(2)|Tomatoes|0
5964|Tomatoes(3)|Tomatoes|0
5965|Tomatoes(3)|Tomatoes|0
5966|Tomatoes(4)|Tomatoes|0
5967|Tomatoes(4)|Tomatoes|0
5968|Tomatoes(5)|Tomatoes|0
5969|Tomatoes(5)|Tomatoes|0
6053|Spirit roots|None|2
6054|Spirit roots|None|2
6060|Stool|None|2
6061|Bronze bolts (p+)|Bronze bolts|0
6062|Bronze bolts (p++)|Bronze bolts|0
6063|Spirit tree|Spirit tree|4
6084|Worn key|Tarnished key|0
6099|Teleport crystal (4)|Teleport crystal|0
6100|Teleport crystal (3)|Teleport crystal|0
6101|Teleport crystal (2)|Teleport crystal|0
6102|Teleport crystal (1)|Teleport crystal|0
6105|Elf|Elf|4
6107|Ghostly robe|Ghostly robe (top)|0
6108|Ghostly robe|Ghostly robe (bottom)|0
6121|Letter|Letter (Forgettable Tale...)|0
6125|Enchanted lyre(2)|Enchanted lyre|0
6126|Enchanted lyre(3)|Enchanted lyre|0
6127|Enchanted lyre(4)|Enchanted lyre|0
6208|Null|None|1
6215|Broodoo shield (10)|Broodoo shield (green)|0
6216|Broodoo shield (10)|Broodoo shield (green)|0
6217|Broodoo shield (9)|Broodoo shield (green)|0
6218|Broodoo shield (9)|Broodoo shield (green)|0
6219|Broodoo shield (8)|Broodoo shield (green)|0
6220|Broodoo shield (8)|Broodoo shield (green)|0
6221|Broodoo shield (7)|Broodoo shield (green)|0
6222|Broodoo shield (7)|Broodoo shield (green)|0
6223|Broodoo shield (6)|Broodoo shield (green)|0
6224|Broodoo shield (6)|Broodoo shield (green)|0
6225|Broodoo shield (5)|Broodoo shield (green)|0
6226|Broodoo shield (5)|Broodoo shield (green)|0
6227|Broodoo shield (4)|Broodoo shield (green)|0
6228|Broodoo shield (4)|Broodoo shield (green)|0
6229|Broodoo shield (3)|Broodoo shield (green)|0
6230|Broodoo shield (3)|Broodoo shield (green)|0
6231|Broodoo shield (2)|Broodoo shield (green)|0
6232|Broodoo shield (2)|Broodoo shield (green)|0
6233|Broodoo shield (1)|Broodoo shield (green)|0
6234|Broodoo shield (1)|Broodoo shield (green)|0
6235|Broodoo shield|Broodoo shield (green)|0
6236|Broodoo shield|Broodoo shield (green)|0
6237|Broodoo shield (10)|Broodoo shield (orange)|0
6238|Broodoo shield (10)|Broodoo shield (orange)|0
6239|Broodoo shield (9)|Broodoo shield (orange)|0
6240|Broodoo shield (9)|Broodoo shield (orange)|0
6241|Broodoo shield (8)|Broodoo shield (orange)|0
6242|Broodoo shield (8)|Broodoo shield (orange)|0
6243|Broodoo shield (7)|Broodoo shield (orange)|0
6244|Broodoo shield (7)|Broodoo shield (orange)|0
6245|Broodoo shield (6)|Broodoo shield (orange)|0
6246|Broodoo shield (6)|Broodoo shield (orange)|0
6247|Broodoo shield (5)|Broodoo shield (orange)|0
6248|Broodoo shield (5)|Broodoo shield (orange)|0
6249|Broodoo shield (4)|Broodoo shield (orange)|0
6250|Broodoo shield (4)|Broodoo shield (orange)|0
6251|Broodoo shield (3)|Broodoo shield (orange)|0
6252|Broodoo shield (3)|Broodoo shield (orange)|0
6253|Broodoo shield (2)|Broodoo shield (orange)|0
6254|Broodoo shield (2)|Broodoo shield (orange)|0
6255|Broodoo shield (1)|Broodoo shield (orange)|0
6256|Broodoo shield (1)|Broodoo shield (orange)|0
6257|Broodoo shield|Broodoo shield (orange)|0
6258|Broodoo shield|Broodoo shield (orange)|0
6259|Broodoo shield (10)|Broodoo shield (blue)|0
6260|Broodoo shield (10)|Broodoo shield (blue)|0
6261|Broodoo shield (9)|Broodoo shield (blue)|0
6262|Broodoo shield (9)|Broodoo shield (blue)|0
6263|Broodoo shield (8)|Broodoo shield (blue)|0
6264|Broodoo shield (8)|Broodoo shield (blue)|0
6265|Broodoo shield (7)|Broodoo shield (blue)|0
6266|Broodoo shield (7)|Broodoo shield (blue)|0
6267|Broodoo shield (6)|Broodoo shield (blue)|0
6268|Broodoo shield (6)|Broodoo shield (blue)|0
6269|Broodoo shield (5)|Broodoo shield (blue)|0
6270|Broodoo shield (5)|Broodoo shield (blue)|0
6271|Broodoo shield (4)|Broodoo shield (blue)|0
6272|Broodoo shield (4)|Broodoo shield (blue)|0
6273|Broodoo shield (3)|Broodoo shield (blue)|0
6274|Broodoo shield (3)|Broodoo shield (blue)|0
6275|Broodoo shield (2)|Broodoo shield (blue)|0
6276|Broodoo shield (2)|Broodoo shield (blue)|0
6277|Broodoo shield (1)|Broodoo shield (blue)|0
6278|Broodoo shield (1)|Broodoo shield (blue)|0
6279|Broodoo shield|Broodoo shield (blue)|0
6280|Broodoo shield|Broodoo shield (blue)|0
6335|Tribal mask|Tribal mask (green)|0
6336|Tribal mask|Tribal mask (green)|0
6337|Tribal mask|Tribal mask (orange)|0
6338|Tribal mask|Tribal mask (orange)|0
6339|Tribal mask|Tribal mask (blue)|0
6340|Tribal mask|Tribal mask (blue)|0
6341|Tribal top|Tribal top (brown)|0
6342|Tribal top|Tribal top (brown)|0
6343|Villager robe|Villager robe (brown)|0
6344|Villager robe|Villager robe (brown)|0
6345|Villager hat|Villager hat (brown)|0
6346|Villager hat|Villager hat (brown)|0
6347|Villager armband|Villager armband (brown)|0
6348|Villager armband|Villager armband (brown)|0
6349|Villager sandals|Villager sandals (brown)|0
6350|Villager sandals|Villager sandals (brown)|0
6351|Tribal top|Tribal top (blue)|0
6352|Tribal top|Tribal top (blue)|0
6353|Villager robe|Villager robe (blue)|0
6354|Villager robe|Villager robe (blue)|0
6355|Villager hat|Villager hat (blue)|0
6356|Villager hat|Villager hat (blue)|0
6357|Villager sandals|Villager sandals (blue)|0
6358|Villager sandals|Villager sandals (blue)|0
6359|Villager armband|Villager armband (blue)|0
6360|Villager armband|Villager armband (blue)|0
6361|Tribal top|Tribal top (yellow)|0
6362|Tribal top|Tribal top (yellow)|0
6363|Villager robe|Villager robe (yellow)|0
6364|Villager robe|Villager robe (yellow)|0
6365|Villager hat|Villager hat (yellow)|0
6366|Villager hat|Villager hat (yellow)|0
6367|Villager sandals|Villager sandals (yellow)|0
6368|Villager sandals|Villager sandals (yellow)|0
6369|Villager armband|Villager armband (yellow)|0
6370|Villager armband|Villager armband (yellow)|0
6371|Tribal top|Tribal top (pink)|0
6372|Tribal top|Tribal top (pink)|0
6373|Villager robe|Villager robe (pink)|0
6374|Villager robe|Villager robe (pink)|0
6375|Villager hat|Villager hat (pink)|0
6376|Villager hat|Villager hat (pink)|0
6377|Villager sandals|Villager sandals (pink)|0
6378|Villager sandals|Villager sandals (pink)|0
6379|Villager armband|Villager armband (pink)|0
6380|Villager armband|Villager armband (pink)|0
6450|Kandarin headgear|Kandarin headgear 3|0
6452|Mage arena cape|Guthix cape|0
6458|Orchid seed|Orchid seed (pink)|0
6459|Orchid seed|Orchid seed (yellow)|0
6463|White tree shoot (w)|White tree shoot|0
6465|Ring of charos(a)|Ring of charos(a)|4
6470|Compost potion(4)|Compost potion|0
